"codigo_bairro","codigo_ibge","bairro","regional","codigo_regiao","territorio","fonte","vigencia_referencia"
"20","2304400020","Jardim Guanabara","SER 01","II","2","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"39","2304400039","Vila Velha","SER 01","II","2","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"6","2304400006","Barra do Ceará","SER 01","II","3","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"12","2304400012","Cristo Redentor","SER 01","II","4","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"31","2304400031","Pirambu","SER 01","II","4","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"9","2304400009","Carlito Pamplona","SER 01","II","5","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"18","2304400018","Jacarecanga","SER 01","II","5","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"3","2304400003","Álvaro Weyne","SER 01","II","6","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"17","2304400017","Floresta","SER 01","II","6","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"21","2304400021","Jardim Iracema","SER 01","II","6","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"2","2304400002","Aldeota","SER 02","III","7","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"24","2304400024","Meireles","SER 02","III","7","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"115","2304400115","De Lourdes","SER 02","III","8","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"27","2304400027","Papicu","SER 02","III","8","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"36","2304400036","Varjota","SER 02","III","8","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"110","2304400110","Cais do Porto","SER 02","III","9","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"26","2304400026","Mucuripe","SER 02","III","9","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"37","2304400037","Vicente Pinzón","SER 02","III","9","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"14","2304400014","Dionísio Torres","SER 02","III","10","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"22","2304400022","Joaquim Távora","SER 02","III","10","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"35","2304400035","Tauape","SER 02","III","10","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"40","2304400040","Antônio Bezerra","SER 03","IV","11","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"122","2304400122","Olavo Oliveira","SER 03","IV","11","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"48","2304400048","Quintino Cunha","SER 03","IV","11","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"47","2304400047","Padre Andrade","SER 03","IV","12","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"33","2304400033","Presidente Kennedy","SER 03","IV","12","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"38","2304400038","Ellery","SER 03","IV","13","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"15","2304400015","Farias Brito","SER 03","IV","13","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"25","2304400025","Monte Castelo","SER 03","IV","13","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"1","2304400001","São Gerardo","SER 03","IV","13","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"4","2304400004","Amadeu Furtado","SER 03","IV","14","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"28","2304400028","Parque Araxá","SER 03","IV","14","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"29","2304400029","Parquelândia","SER 03","IV","14","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"34","2304400034","Rodolfo Teófilo","SER 03","IV","14","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"7","2304400007","Benfica","SER 04","V","15","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"16","2304400016","Fátima","SER 04","V","15","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"23","2304400023","José Bonifácio","SER 04","V","15","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"8","2304400008","Bom Futuro","SER 04","V","16","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"13","2304400013","Damas","SER 04","V","16","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"19","2304400019","Jardim América","SER 04","V","16","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"103","2304400103","Montese","SER 04","V","16","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"99","2304400099","Itaoca","SER 04","V","17","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"105","2304400105","Parangaba","SER 04","V","17","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"108","2304400108","Vila Peri","SER 04","V","17","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"92","2304400092","Aeroporto","SER 04","V","18","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"30","2304400030","Parreão","SER 04","V","18","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"109","2304400109","Vila União","SER 04","V","18","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"72","2304400072","Bom Jardim","SER 05","XII","39","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"73","2304400073","Bonsucesso","SER 05","XII","39","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"78","2304400078","Granja Lisboa","SER 05","XII","39","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"79","2304400079","Granja Portugal","SER 05","XII","39","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"90","2304400090","Siqueira","SER 05","XII","39","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
"91","2304400091","Aerolândia","SER 06","VIII","26","IPLANFOR - Bairros de Fortaleza / LC 307-2021","2021-12-13"
